Date,Price,,,,,
May-24,"72,050",,,,,
Apr-24,"70,415",,,,,
Mar-24,"67,677",,,,,
Feb-24,"62,567",,,,,
Jan-24,"62,958",,,,,
Dec-23,"63,203",,,,,
Nov-23,"62,559",,,,,
Oct-23,"60,940",,,,,
Sep-23,"57,105",,,,,
Aug-23,"59,374",,,,,
Jul-23,"59,568",,,,,
Jun-23,"58,211",,,,,
May-23,"60,163",,,,,
Apr-23,"59,919",,,,,
Mar-23,"59,402",,,,,
Feb-23,"55,756",,,,,
Jan-23,"57,242",,,,,
Dec-22,"55,017",,,,,
Nov-22,"52,480",,,,,
Oct-22,"50,322",,,,,
Sep-22,"50,094",,,,,
Aug-22,"50,414",,,,,
Jul-22,"51,426",,,,,
Jun-22,"50,517",,,,,
May-22,"50,855",,,,,
Apr-22,"51,754",,,,,
Mar-22,"51,585",,,,,
Feb-22,"50,760",,,,,
Jan-22,"47,686",,,,,
Dec-21,"48,099",,,,,
Nov-21,"47,606",,,,,
Oct-21,"47,635",,,,,
Sep-21,"46,323",,,,,
Aug-21,"47,120",,,,,
Jul-21,"47,846",,,,,
Jun-21,"46,839",,,,,
May-21,"48,821",,,,,
Apr-21,"46,737",,,,,
Mar-21,"44,637",,,,,
Feb-21,"45,736",,,,,
Jan-21,"49,096",,,,,
Dec-20,"50,151",,,,,
Nov-20,"47,792",,,,,
Oct-20,"50,699",,,,,
Sep-20,"50,404",,,,,
Aug-20,"51,701",,,,,
Jul-20,"53,828",,,,,
Jun-20,"48,762",,,,,
May-20,"46,654",,,,,
Apr-20,"44,906",,,,,
Mar-20,"43,255",,,,,
Feb-20,"41,397",,,,,
Jan-20,"41,000",,,,,
Dec-19,"39,108",,,,,
Nov-19,"38,031",,,,,
Oct-19,"38,578",,,,,
Sep-19,"36,913",,,,,
Aug-19,"38,656",,,,,
Jul-19,"34,517",,,,,
Jun-19,"34,206",,,,,
May-19,"32,098",,,,,
Apr-19,"31,756",,,,,
Mar-19,"31,734",,,,,
Feb-19,"32,981",,,,,
Jan-19,"33,056",,,,,
Dec-18,"31,391",,,,,
Nov-18,"30,240",,,,,
Oct-18,"31,748",,,,,
Sep-18,"30,481",,,,,
Aug-18,"30,129",,,,,
Jul-18,"29,653",,,,,
Jun-18,"30,432",,,,,
May-18,"30,831",,,,,
Apr-18,"31,036",,,,,
Mar-18,"30,408",,,,,
Feb-18,"30,379",,,,,
Jan-18,"30,117",,,,,
Dec-17,"29,156",,,,,
Nov-17,"29,012",,,,,
Oct-17,"29,153",,,,,
Sep-17,"29,557",,,,,
Aug-17,"29,745",,,,,
Jul-17,"28,557",,,,,
Jun-17,"28,439",,,,,
May-17,"28,843",,,,,
Apr-17,"28,873",,,,,
Mar-17,"28,463",,,,,
Feb-17,"29,566",,,,,
Jan-17,"28,942",,,,,
Dec-16,"27,445",,,,,
Nov-16,"28,385",,,,,
Oct-16,"29,950",,,,,
Sep-16,"30,742",,,,,
Aug-16,"30,724",,,,,
Jul-16,"31,549",,,,,
Jun-16,"31,199",,,,,
May-16,"28,627",,,,,
Apr-16,"30,266",,,,,
Mar-16,"28,549",,,,,
Feb-16,"29,513",,,,,
Jan-16,"26,638",,,,,
Dec-15,"24,931",,,,,
Nov-15,"25,069",,,,,
Oct-15,"26,499",,,,,
Sep-15,"25,856",,,,,
Aug-15,"26,682",,,,,
Jul-15,"24,813",,,,,
Jun-15,"26,471",,,,,
May-15,"26,860",,,,,
Apr-15,"26,716",,,,,
Mar-15,"26,204",,,,,
Feb-15,"26,477",,,,,
Jan-15,"27,895",,,,,
Dec-14,"26,703",,,,,
Nov-14,"25,794",,,,,
Oct-14,"26,135",,,,,
Sep-14,"27,129",,,,,
Aug-14,"27,996",,,,,
Jul-14,"27,818",,,,,
Jun-14,"27,776",,,,,
May-14,"26,863",,,,,
Apr-14,"28,887",,,,,
Mar-14,"28,536",,,,,
Feb-14,"30,090",,,,,
Jan-14,"29,462",,,,,
Dec-13,"28,422",,,,,
Nov-13,"30,236",,,,,
Oct-13,"29,793",,,,,
Sep-13,"30,425",,,,,
Aug-13,"32,989",,,,,
Jul-13,"28,207",,,,,
Jun-13,"25,669",,,,,
May-13,"26,874",,,,,
Apr-13,"26,905",,,,,
Mar-13,"29,394",,,,,
Feb-13,"29,570",,,,,
Jan-13,"29,871",,,,,
Dec-12,"30,859",,,,,
Nov-12,"31,076",,,,,
Oct-12,"31,105",,,,,
Sep-12,"31,201",,,,,
Aug-12,"31,206",,,,,
Jul-12,"29,749",,,,,
Jun-12,"29,665",,,,,
May-12,"29,148",,,,,
Apr-12,"29,183",,,,,
Mar-12,"28,030",,,,,
Feb-12,"27,952",,,,,
Jan-12,"28,078",,,,,
Dec-11,"27,329",,,,,
Nov-11,"29,061",,,,,
Oct-11,"27,343",,,,,
Sep-11,"25,989",,,,,
Aug-11,"27,184",,,,,
Jul-11,"23,166",,,,,
Jun-11,"21,904",,,,,
May-11,"22,426",,,,,
Apr-11,"22,820",,,,,
Mar-11,"20,693",,,,,
Feb-11,"20,923",,,,,
Jan-11,"19,922",,,,,
Dec-10,"20,728",,,,,
Nov-10,"20,538",,,,,
Oct-10,"19,807",,,,,
Sep-10,"19,035",,,,,
Aug-10,"19,134",,,,,
Jul-10,"17,770",,,,,
Jun-10,"18,852",,,,,
May-10,"18,385",,,,,
Apr-10,"17,125",,,,,
Mar-10,"16,295",,,,,
Feb-10,"16,789",,,,,
Jan-10,"16,200",,,,,
Dec-09,"16,686",,,,,
Nov-09,"17,614",,,,,
Oct-09,"15,957",,,,,
Sep-09,"15,703",,,,,
Aug-09,"15,125",,,,,
Jul-09,"14,802",,,,,
Jun-09,"14,451",,,,,
May-09,"14,923",,,,,
Apr-09,"14,503",,,,,
Mar-09,"15,132",,,,,
Feb-09,"15,504",,,,,
Jan-09,"14,452",,,,,
Dec-08,"13,630",,,,,
Nov-08,"13,125",,,,,
Oct-08,"11,630",,,,,
Sep-08,"13,192",,,,,
Aug-08,"11,895",,,,,
Jul-08,"12,618",,,,,
Jun-08,"12,879",,,,,
May-08,"12,199",,,,,
Apr-08,"11,370",,,,,
Mar-08,"11,920",,,,,
Feb-08,"12,396",,,,,
Jan-08,"11,707",,,,,
Dec-07,"10,598",,,,,
Nov-07,"10,033",,,,,
Oct-07,"10,083",,,,,
Sep-07,"9,530",,,,,
Aug-07,"8,935",,,,,
Jul-07,"8,708",,,,,
Jun-07,"8,662",,,,,
May-07,"8,694",,,,,
Apr-07,"9,203",,,,,
Mar-07,"9,339",,,,,
Feb-07,"9,628",,,,,
Jan-07,"9,242",,,,,
Dec-06,"9,265",,,,,
Nov-06,"9,269",,,,,
Oct-06,"8,894",,,,,
Sep-06,"8,859",,,,,
Aug-06,"9,554",,,,,
Jul-06,"9,560",,,,,
Jun-06,"9,220",,,,,
May-06,"9,526",,,,,
Apr-06,"9,609",,,,,
Mar-06,"8,382",,,,,
Feb-06,"8,112",,,,,
Jan-06,"8,166",,,,,
Dec-05,"7,638",,,,,
Nov-05,"7,416",,,,,
Oct-05,"6,822",,,,,
Sep-05,"6,731",,,,,
Aug-05,"6,263",,,,,
Jul-05,"6,084",,,,,
Jun-05,"6,214",,,,,
May-05,"5,966",,,,,
Apr-05,"6,229",,,,,
Mar-05,"6,103",,,,,
Feb-05,"6,245",,,,,
Jan-05,"6,000",,,,,
Dec-04,"6,307",,,,,
Nov-04,"6,528",,,,,
Oct-04,"6,329",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
